url,title,asin,price,brand,product_details,breadcrumbs,images_list,Outer Material,Inner Material,Sole,Closure,Heel Height,Heel Type,Shoe Width
https://www.amazon.co.uk/dp/B08BLP231K,"Geox Jr Sandal Strada B Fisherman, Brown Red, 2.5 UK Child",B08BLP231K,£50.00,Visit the Geox Store,"Package Dimensions: 
31.2 x 21.4 x 11.4 cm; 820 Grams


Date First Available: 
22 Jun. 2020


Manufacturer: 
Geox


ASIN: 
B08BLP231K


Item model number: 
J1524B02214


Country of origin: 
Vietnam


Department: 
Boy's","['Shoes', ""Boys' Shoes"", 'Sandals']","https://m.media-amazon.com/images/I/41OuvqjhaqL.jpg, https://m.media-amazon.com/images/I/51zt+Bb48FL.jpg, https://m.media-amazon.com/images/I/51EXdVtkpAL.jpg, https://m.media-amazon.com/images/I/41u3T2DxWkL.jpg, https://m.media-amazon.com/images/I/41ZOt3pgbSL.jpg, https://m.media-amazon.com/images/I/41FEYlXQNFL.jpg, https://m.media-amazon.com/images/I/41Nqt4ULBUL.jpg",Synthetic,Synthetic,Rubber,Strap,2 centimetres,Flat,Medium
https://www.amazon.co.uk/dp/B012DS5U2Y,Reebok Men's NPC Ii Fashion Sneaker,B012DS5U2Y,£47.00 - £156.93,Visit the Reebok Store,"Is Discontinued By Manufacturer: 
No


Product Dimensions: 
1 x 1 x 1 cm; 340.19 Grams


Date First Available: 
8 Feb. 2016


Manufacturer: 
Reebok


ASIN: 
B00XJYHWU0


Item model number: 
889131332620


Department: 
Boy's","['Shoes', ""Men's Shoes"", 'Fashion & Athletic Trainers', 'Fashion Trainers']","https://m.media-amazon.com/images/I/31Q5ITz9A1L.jpg, https://m.media-amazon.com/images/I/31zTqnl8B1L.jpg, https://m.media-amazon.com/images/I/31cJeqWHkXL.jpg, https://m.media-amazon.com/images/I/31VChOZlUvL.jpg, https://m.media-amazon.com/images/I/31tZwWe46cL.jpg, https://m.media-amazon.com/images/I/312gwJ-AfwL.jpg, https://m.media-amazon.com/images/I/31aftLNUgNL.jpg",Leather,Manmade,Rubber,Lace-Up,1 centimetres,Flat,Normal
https://www.amazon.co.uk/dp/B01GRUZWAO,Geox Women's D Sfinge a Fashion Sneaker,B01GRUZWAO,£64.95 - £117.00,Visit the Geox Store,"Is Discontinued By Manufacturer: 
No


Package Dimensions: 
31.2 x 22.6 x 11 cm; 340.19 Grams


Date First Available: 
8 Aug. 2016


Manufacturer: 
Geox


ASIN: 
B01C5171VC


Item model number: 
D642NA


Department: 
Women's","['Shoes', ""Women's Shoes"", 'Fashion & Athletic Trainers', 'Fashion Trainers']","https://m.media-amazon.com/images/I/41nClsGThtL.jpg, https://m.media-amazon.com/images/I/41wk9QjiMnL.jpg, https://m.media-amazon.com/images/I/41BPdM1ttRL.jpg, https://m.media-amazon.com/images/I/41bb40A9iYL.jpg, https://m.media-amazon.com/images/I/41u0DuohyDL.jpg, https://m.media-amazon.com/images/I/41wZ7aDasSL.jpg, https://m.media-amazon.com/images/I/41qjIMKAX+L.jpg",Leather,Mesh,Ethylene Vinyl Acetate,Lace-Up,3.5 centimetres,Flat,Medium womens_us
https://www.amazon.co.uk/dp/B08635QDSF,HROYL Girls Dance Shoes Satin Latin/Chacha/Samba/Modern/Jazz Dance Shoes Ballroom 206,B08635QDSF,£25.99 - £28.99,Visit the HROYL Store,"Is Discontinued By Manufacturer: 
No


Product Dimensions: 
17.4 x 6.4 x 10 cm; 145.15 Grams


Date First Available: 
7 Mar. 2017


ASIN: 
B01J76Z3KE


Item model number: 
I-206-Black-25


Department: 
Women's","['Shoes', ""Women's Shoes"", 'Fashion & Athletic Trainers', 'Sports & Outdoor Shoes', 'Dance Shoes']","https://m.media-amazon.com/images/I/41u3nswtlAL.jpg, https://m.media-amazon.com/images/I/41+6R69avQL.jpg, https://m.media-amazon.com/images/I/51ZZf46pd2L.jpg, https://m.media-amazon.com/images/I/511Wct8kR9L.jpg, https://m.media-amazon.com/images/I/51MuvpcOhOL.jpg, https://m.media-amazon.com/images/I/51-7HmsLJLL.jpg, https://m.media-amazon.com/images/I/51BgT0jdDTL.jpg",Satin,Manmade,Synthetic,Buckle,3.5 centimetres,Block,Normal
https://www.amazon.co.uk/dp/B07T26WQF5,adidas Originals Men's Superstar Foundation Sneaker,B07T26WQF5,£27.50 - £214.11,adidas Originals,"Product Dimensions: 
30 x 35 x 20 cm; 200 Grams


Date First Available: 
18 Nov. 2019


Manufacturer: 
adidas


ASIN: 
B0813VB74R


Item model number: 
EG4960


Department: 
Men's","['Shoes', ""Men's Shoes"", 'Fashion & Athletic Trainers', 'Fashion Trainers']","https://m.media-amazon.com/images/I/31PV8FxA9hL.jpg, https://m.media-amazon.com/images/I/31rM6XZH+mL.jpg, https://m.media-amazon.com/images/I/31TK9uSOD8L.jpg, https://m.media-amazon.com/images/I/31O-VlY70-L.jpg, https://m.media-amazon.com/images/I/31JvxRZkABL.jpg, https://m.media-amazon.com/images/I/31srUKGhBlL.jpg, https://m.media-amazon.com/images/I/31ZDmA7TNoL.jpg",Synthetic,Manmade,Rubber,Lace-Up,1 centimetres,Flat,Normale
https://www.amazon.co.uk/dp/B084DQPC13,Clarks Men's Bayhill Plain Oxford,B084DQPC13,£28.02 - £90.84,Visit the Clarks Store,"Product Dimensions: 
30 x 20 x 10 cm; 860 Grams


Date First Available: 
28 Sept. 2020


Manufacturer: 
Clarks


ASIN: 
B08JQFGBKS


Item model number: 
261531758


Department: 
Men's","['Shoes', ""Men's Shoes"", 'Lace-ups']","https://m.media-amazon.com/images/I/31B4LeV-WbL.jpg, https://m.media-amazon.com/images/I/412jkzCjB6L.jpg, https://m.media-amazon.com/images/I/41-HU6rtq5L.jpg, https://m.media-amazon.com/images/I/31wSdYxy+eL.jpg, https://m.media-amazon.com/images/I/31qVaT2nYYL.jpg, https://m.media-amazon.com/images/I/31fW4B5Hu7L.jpg, https://m.media-amazon.com/images/I/31Wr27F2MAL.jpg",Nubuck Leather,Manmade,Leather and rubber,Lace-Up,1 centimetres,Flat,Wide
https://www.amazon.co.uk/dp/B00307JJR0,"Capezio Websneaker, Girls’ Casual",B00307JJR0,£36.40 - £49.00,Capezio,"Is Discontinued By Manufacturer: 
No


Package Dimensions: 
23.8 x 14.6 x 9.2 cm; 458.13 Grams


Date First Available: 
28 Sept. 2010


Manufacturer: 
Capezio


ASIN: 
B002ZMTUL6


Item model number: 
S000DS19C0MPAT125


Department: 
Girl's","['Shoes', ""Women's Shoes"", 'Fashion & Athletic Trainers', 'Sports & Outdoor Shoes']","https://m.media-amazon.com/images/I/41Vt3Tj1QKL.jpg, https://m.media-amazon.com/images/I/41riQrO0ohL.jpg, https://m.media-amazon.com/images/I/41lrVmFhYJL.jpg, https://m.media-amazon.com/images/I/31Ll2xhEXkL.jpg, https://m.media-amazon.com/images/I/31ZPOr8r-iL.jpg, https://m.media-amazon.com/images/I/31D2vzKr-bL.jpg, https://m.media-amazon.com/images/I/51UJMw+OZmL.jpg",Mesh,Manmade,Polyurethane,Lace-Up,1 centimetres,Flat,Medium
https://www.amazon.co.uk/dp/B07TVF6ZBP,Skechers Women's Ultra Groove Trainers,B07TVF6ZBP,£40.31 - £199.90,Visit the Skechers Store,"Batteries: 
1 Unknown batteries required.


Is Discontinued By Manufacturer: 
No


Date First Available: 
9 Sept. 2019


Manufacturer: 
Skechers


ASIN: 
B07TTDKR5L


Item model number: 
149019


Department: 
Women's","['Shoes', ""Women's Shoes"", 'Fashion & Athletic Trainers', 'Fashion Trainers']","https://m.media-amazon.com/images/I/4105lS5DErL.jpg, https://m.media-amazon.com/images/I/41Ao60M9swL.jpg, https://m.media-amazon.com/images/I/41vFoI9bGjL.jpg, https://m.media-amazon.com/images/I/31D7xyC46rL.jpg, https://m.media-amazon.com/images/I/31eewoLkYWL.jpg, https://m.media-amazon.com/images/I/41+7Sbi3ylL.jpg, https://m.media-amazon.com/images/I/41nXEm1EipL.jpg",Synthetic,Textile,EVA,Lace-Up,45,No Heel,Medium
https://www.amazon.co.uk/dp/B07W6S18DB,"Rieker Women Low Shoes, Loafers L2327, Ladies Low-Tops,Removable Insole",B07W6S18DB,£29.39 - £41.35,Rieker,"Package Dimensions: 
32.2 x 17.2 x 11.6 cm; 600 Grams


Date First Available: 
8 Aug. 2019


Manufacturer: 
Rieker


ASIN: 
B07W6S16VZ


Item model number: 
L2327


Department: 
Women's","['Shoes', ""Women's Shoes"", 'Flat Shoes', 'Loafers & Moccasins']","https://m.media-amazon.com/images/I/41IyKyn39IL.jpg, https://m.media-amazon.com/images/I/41H0mKED6DL.jpg, https://m.media-amazon.com/images/I/31EfSTJwvnL.jpg, https://m.media-amazon.com/images/I/31do7yetmuL.jpg, https://m.media-amazon.com/images/I/41aoDZ-yWLL.jpg, https://m.media-amazon.com/images/I/41oKiyT8YKL.jpg, https://m.media-amazon.com/images/I/4164t8o2+6L.jpg",Synthetic,Manmade,Synthetic,Lace-Up,3.5 centimetres,Flat,Medium
https://www.amazon.co.uk/dp/B09C8C5T8K,Walk Shoes Women Athletic Casual Tennis Sneakers Lace Up Walking Shoes Striped Pattern Autumn Loafers,B09C8C5T8K,£17.68 - £18.28,JYC Store,"Date First Available: 
10 Aug. 2021


Manufacturer: 
zhjk598


ASIN: 
B09C8B5L7H


Item model number: 
women sandals clearance


Department: 
Women's","['Shoes', ""Women's Shoes"", 'Fashion & Athletic Trainers', 'Fashion Trainers']","https://m.media-amazon.com/images/I/41+GJL894TS.jpg, https://m.media-amazon.com/images/I/61p6xGBYBUS.jpg, https://m.media-amazon.com/images/I/611-z94F6pS.jpg, https://m.media-amazon.com/images/I/61R4I7CeCZS.jpg, https://m.media-amazon.com/images/I/51CPIGt9ewS.jpg, https://m.media-amazon.com/images/I/5186i6L8P9S.jpg, https://m.media-amazon.com/images/I/41i3VF92QXL.jpg","Canvas, boys trainers, badminton shoes, women's walking shoes, running shoes for wome","Wedge, pointed-toe, women's slippers, white trainers women",Rubber,"Lace-Up, Pull On, Hook & Loop",1.5 centimetres,Low,Medium
