id,brand,closure,code,description,heel_height,heel_type,inner_material,name,outer_material,price,shoe_width,sole,created_at,review_count,review_score,sold_count,stock_count,updated_at
1,Visit the Geox Store,Strap,B08BLP231K,Package Dimensions: \n31.2 x 21.4 x 11.4 cm; 820 Grams\n\n\nDate First Available: \n22 Jun. 2020\n\n\nManufacturer: \nGeox\n\n\nASIN: \nB08BLP231K\n\n\nItem model number: \nJ1524B02214\n\n\nCountry of origin: \nVietnam\n\n\nDepartment: \nBoy,2 centimetres,Flat,Synthetic,"Geox Jr Sandal Strada B Fisherman, Brown Red, 2.5 UK Child",Synthetic,50,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
2,Visit the Reebok Store,Lace-Up,B012DS5U2Y,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n1 x 1 x 1 cm; 340.19 Grams\n\n\nDate First Available: \n8 Feb. 2016\n\n\nManufacturer: \nReebok\n\n\nASIN: \nB00XJYHWU0\n\n\nItem model number: \n889131332620\n\n\nDepartment: \nBoy,1 centimetres,Flat,Manmade,Reebok Men's NPC Ii Fashion Sneaker,Leather,47,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
3,Visit the Geox Store,Lace-Up,B01GRUZWAO,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n31.2 x 22.6 x 11 cm; 340.19 Grams\n\n\nDate First Available: \n8 Aug. 2016\n\n\nManufacturer: \nGeox\n\n\nASIN: \nB01C5171VC\n\n\nItem model number: \nD642NA\n\n\nDepartment: \nWomen,3.5 centimetres,Flat,Mesh,Geox Women's D Sfinge a Fashion Sneaker,Leather,64.95,Medium womens_us,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
4,Visit the HROYL Store,Buckle,B08635QDSF,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n17.4 x 6.4 x 10 cm; 145.15 Grams\n\n\nDate First Available: \n7 Mar. 2017\n\n\nASIN: \nB01J76Z3KE\n\n\nItem model number: \nI-206-Black-25\n\n\nDepartment: \nWomen,3.5 centimetres,Block,Manmade,HROYL Girls Dance Shoes Satin Latin/Chacha/Samba/Modern/Jazz Dance Shoes Ballroom 206,Satin,25.99,Normal,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
5,adidas Originals,Lace-Up,B07T26WQF5,Product Dimensions: \n30 x 35 x 20 cm; 200 Grams\n\n\nDate First Available: \n18 Nov. 2019\n\n\nManufacturer: \nadidas\n\n\nASIN: \nB0813VB74R\n\n\nItem model number: \nEG4960\n\n\nDepartment: \nMen,1 centimetres,Flat,Manmade,adidas Originals Men's Superstar Foundation Sneaker,Synthetic,27.5,Normale,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
6,Visit the Clarks Store,Lace-Up,B084DQPC13,Product Dimensions: \n30 x 20 x 10 cm; 860 Grams\n\n\nDate First Available: \n28 Sept. 2020\n\n\nManufacturer: \nClarks\n\n\nASIN: \nB08JQFGBKS\n\n\nItem model number: \n261531758\n\n\nDepartment: \nMen,1 centimetres,Flat,Manmade,Clarks Men's Bayhill Plain Oxford,Nubuck Leather,28.02,Wide,Leather and rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
7,Capezio,Lace-Up,B00307JJR0,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n23.8 x 14.6 x 9.2 cm; 458.13 Grams\n\n\nDate First Available: \n28 Sept. 2010\n\n\nManufacturer: \nCapezio\n\n\nASIN: \nB002ZMTUL6\n\n\nItem model number: \nS000DS19C0MPAT125\n\n\nDepartment: \nMen,1 centimetres,Flat,Manmade,"Capezio Websneaker, Girls’ Casual",Mesh,36.4,Medium,Polyurethane,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
8,Visit the Skechers Store,Lace-Up,B07TVF6ZBP,Batteries: \n1 Unknown batteries required.\n\n\nIs Discontinued By Manufacturer: \nNo\n\n\nDate First Available: \n9 Sept. 2019\n\n\nManufacturer: \nSkechers\n\n\nASIN: \nB07TTDKR5L\n\n\nItem model number: \n149019\n\n\nDepartment: \nWomen,45,No Heel,Textile,Skechers Women's Ultra Groove Trainers,Synthetic,40.31,Medium,EVA,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
9,Rieker,Lace-Up,B07W6S18DB,Package Dimensions: \n32.2 x 17.2 x 11.6 cm; 600 Grams\n\n\nDate First Available: \n8 Aug. 2019\n\n\nManufacturer: \nRieker\n\n\nASIN: \nB07W6S16VZ\n\n\nItem model number: \nL2327\n\n\nDepartment: \nWomen,3.5 centimetres,Flat,Manmade,"Rieker Women Low Shoes, Loafers L2327, Ladies Low-Tops,Removable Insole",Synthetic,29.39,Medium,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
10,JYC Store,"Lace-Up, Pull On, Hook & Loop",B09C8C5T8K,Date First Available: \n10 Aug. 2021\n\n\nManufacturer: \nzhjk598\n\n\nASIN: \nB09C8B5L7H\n\n\nItem model number: \nwomen sandals clearance\n\n\nDepartment: \nWomen,1.5 centimetres,Low,"Wedge, pointed-toe, women's slippers, white trainers women",Walk Shoes Women Athletic Casual Tennis Sneakers Lace Up Walking Shoes Striped Pattern Autumn Loafers,"Canvas, boys trainers, badminton shoes, women's walking shoes, running shoes for wome",17.68,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
11,IGI&Co,Lace-Up,B08J7ZXK8C,Package Dimensions: \n33.5 x 20 x 13 cm; 890 Grams\n\n\nDate First Available: \n16 Sept. 2020\n\n\nManufacturer: \nIMAC S.P.A. - Divisione IGI\n\n\nASIN: \nB08J8145G4\n\n\nItem model number: \n7113111\n\n\nDepartment: \nMen,0.5 centimetres,Flat,Manmade,IGI&Co Men's Urt 71131 Oxford,Synthetic,17.96,Normale,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
