id,shoes_id,size,color,stock
1,1,4.5,#5E6167,200
2,1,5.0,#FFFFFF,80
3,1,5.5,#312951,80
4,1,6.0,#312951,30
5,1,6.5,#FF0000,60
6,1,7.0,#FFFFFF,200
7,1,7.5,#5E6167,170
8,1,8.0,#FFD700,160
9,1,8.5,#000000,170
10,2,4.5,#5E6167,110
11,2,5.0,#FFFFFF,10
12,2,5.5,#5E6167,10
13,2,6.0,#000000,180
14,2,6.5,#5E6167,140
15,2,7.0,#312951,150
16,2,7.5,#FFD700,80
17,2,8.0,#FFD700,110
18,2,8.5,#FFFFFF,80
19,3,4.5,#312951,90
20,3,5.0,#000000,20
21,3,5.5,#FF0000,110
22,3,6.0,#FFFFFF,110
23,3,6.5,#5E6167,90
24,3,7.0,#FFFFFF,20
25,3,7.5,#312951,180
26,3,8.0,#FFFFFF,80
27,3,8.5,#5E6167,10
28,4,4.5,#FFD700,70
29,4,5.0,#FF0000,60
30,4,5.5,#5E6167,90
31,4,6.0,#FF0000,80
32,4,6.5,#FFFFFF,30
33,4,7.0,#000000,70
34,4,7.5,#000000,180
35,4,8.0,#000000,170
36,4,8.5,#5E6167,160
37,5,4.5,#5E6167,80
38,5,5.0,#000000,170
39,5,5.5,#312951,100
40,5,6.0,#000000,200
41,5,6.5,#FFFFFF,30
42,5,7.0,#FF0000,170
43,5,7.5,#312951,140
44,5,8.0,#FF0000,40
45,5,8.5,#000000,90
46,6,4.5,#FF0000,130
47,6,5.0,#312951,170
48,6,5.5,#FFFFFF,130
49,6,6.0,#000000,140
50,6,6.5,#FFD700,110
51,6,7.0,#FFFFFF,140
52,6,7.5,#312951,130
53,6,8.0,#FFFFFF,190
54,6,8.5,#FFFFFF,100
55,7,4.5,#FFFFFF,120
56,7,5.0,#FFFFFF,170
57,7,5.5,#312951,180
58,7,6.0,#FF0000,80
59,7,6.5,#5E6167,40
60,7,7.0,#000000,140
61,7,7.5,#312951,10
62,7,8.0,#312951,140
63,7,8.5,#000000,120
64,8,4.5,#5E6167,70
65,8,5.0,#FFFFFF,10
66,8,5.5,#FFD700,120
67,8,6.0,#5E6167,120
68,8,6.5,#FFFFFF,80
69,8,7.0,#FFFFFF,200
70,8,7.5,#FFFFFF,150
71,8,8.0,#000000,40
72,8,8.5,#FFFFFF,80
73,9,4.5,#000000,60
74,9,5.0,#312951,160
75,9,5.5,#312951,50
76,9,6.0,#FFFFFF,110
77,9,6.5,#FF0000,170
78,9,7.0,#5E6167,130
79,9,7.5,#000000,70
80,9,8.0,#5E6167,40
81,9,8.5,#FF0000,170
82,10,4.5,#FFD700,180
83,10,5.0,#312951,90
84,10,5.5,#FF0000,180
85,10,6.0,#5E6167,190
86,10,6.5,#FFFFFF,140
87,10,7.0,#FF0000,170
88,10,7.5,#312951,90
89,10,8.0,#000000,150
90,10,8.5,#5E6167,20
91,11,4.5,#5E6167,150
92,11,5.0,#FFD700,120
93,11,5.5,#FFD700,140
94,11,6.0,#FFD700,150
95,11,6.5,#000000,130
96,11,7.0,#FF0000,130
97,11,7.5,#FFD700,140
98,11,8.0,#5E6167,10
99,11,8.5,#FFFFFF,20
100,12,4.5,#000000,150
101,12,5.0,#FFD700,30
102,12,5.5,#000000,100
103,12,6.0,#5E6167,160
104,12,6.5,#312951,170
105,12,7.0,#312951,130
106,12,7.5,#FFD700,200
107,12,8.0,#FF0000,150
108,12,8.5,#312951,150
109,13,4.5,#000000,40
110,13,5.0,#000000,170
111,13,5.5,#FFFFFF,170
112,13,6.0,#FFD700,20
113,13,6.5,#000000,50
114,13,7.0,#FF0000,80
115,13,7.5,#000000,110
116,13,8.0,#FFD700,80
117,13,8.5,#FFFFFF,90
118,15,4.5,#FFFFFF,110
119,15,5.0,#312951,30
120,15,5.5,#000000,160
121,15,6.0,#FF0000,140
122,15,6.5,#FFD700,100
123,15,7.0,#5E6167,30
124,15,7.5,#000000,140
125,15,8.0,#000000,50
126,15,8.5,#5E6167,190
127,16,4.5,#FFFFFF,20
128,16,5.0,#000000,150
129,16,5.5,#FFFFFF,100
130,16,6.0,#5E6167,20
131,16,6.5,#FF0000,150
132,16,7.0,#FFFFFF,30
133,16,7.5,#000000,40
134,16,8.0,#FFD700,70
135,16,8.5,#FFFFFF,140
136,17,4.5,#FFD700,20
137,17,5.0,#FF0000,200
138,17,5.5,#312951,130
139,17,6.0,#FFD700,50
140,17,6.5,#FFFFFF,180
141,17,7.0,#312951,100
142,17,7.5,#FFFFFF,110
143,17,8.0,#312951,30
144,17,8.5,#FF0000,140
145,18,4.5,#5E6167,190
146,18,5.0,#FFD700,160
147,18,5.5,#312951,160
148,18,6.0,#FFFFFF,20
149,18,6.5,#FFD700,140
150,18,7.0,#000000,100
151,18,7.5,#000000,100
152,18,8.0,#FFD700,150
153,18,8.5,#312951,180
154,19,4.5,#5E6167,70
155,19,5.0,#5E6167,100
156,19,5.5,#FFFFFF,60
157,19,6.0,#FFD700,110
158,19,6.5,#FFD700,150
159,19,7.0,#FFD700,110
160,19,7.5,#FF0000,60
161,19,8.0,#FFFFFF,190
162,19,8.5,#000000,60
163,20,4.5,#FFFFFF,130
164,20,5.0,#000000,160
165,20,5.5,#000000,100
166,20,6.0,#5E6167,60
167,20,6.5,#5E6167,110
168,20,7.0,#312951,80
169,20,7.5,#000000,120
170,20,8.0,#5E6167,30
171,20,8.5,#5E6167,60
172,21,4.5,#FFFFFF,40
173,21,5.0,#5E6167,80
174,21,5.5,#FF0000,120
175,21,6.0,#312951,130
176,21,6.5,#5E6167,130
177,21,7.0,#5E6167,130
178,21,7.5,#FFFFFF,40
179,21,8.0,#FFD700,170
180,21,8.5,#5E6167,70
181,22,4.5,#FFFFFF,70
182,22,5.0,#FFFFFF,140
183,22,5.5,#FF0000,30
184,22,6.0,#5E6167,90
185,22,6.5,#000000,100
186,22,7.0,#000000,200
187,22,7.5,#312951,80
188,22,8.0,#312951,30
189,22,8.5,#FF0000,50
190,23,4.5,#FFFFFF,190
191,23,5.0,#FFD700,160
192,23,5.5,#000000,160
193,23,6.0,#FFD700,160
194,23,6.5,#312951,50
195,23,7.0,#312951,90
196,23,7.5,#FFD700,160
197,23,8.0,#000000,160
198,23,8.5,#FFD700,80
199,24,4.5,#FF0000,10
200,24,5.0,#312951,170
201,24,5.5,#FFFFFF,90
202,24,6.0,#312951,190
203,24,6.5,#FF0000,130
204,24,7.0,#FFD700,70
205,24,7.5,#312951,80
206,24,8.0,#FF0000,90
207,24,8.5,#5E6167,110
208,25,4.5,#000000,130
209,25,5.0,#5E6167,20
210,25,5.5,#312951,110
211,25,6.0,#FFD700,30
212,25,6.5,#FFFFFF,200
213,25,7.0,#312951,70
214,25,7.5,#312951,110
215,25,8.0,#000000,190
216,25,8.5,#000000,140
217,26,4.5,#000000,40
218,26,5.0,#FFD700,20
219,26,5.5,#312951,20
220,26,6.0,#FF0000,10
221,26,6.5,#312951,180
222,26,7.0,#FFD700,160
223,26,7.5,#312951,70
224,26,8.0,#000000,200
225,26,8.5,#312951,150
226,27,4.5,#312951,70
227,27,5.0,#FFFFFF,180
228,27,5.5,#000000,70
229,27,6.0,#5E6167,120
230,27,6.5,#000000,120
231,27,7.0,#312951,10
232,27,7.5,#5E6167,190
233,27,8.0,#FF0000,190
234,27,8.5,#312951,150
235,28,4.5,#312951,20
236,28,5.0,#312951,200
237,28,5.5,#FFFFFF,20
238,28,6.0,#FF0000,160
239,28,6.5,#FFD700,120
240,28,7.0,#000000,30
241,28,7.5,#5E6167,70
242,28,8.0,#312951,160
243,28,8.5,#000000,190
244,29,4.5,#FFD700,30
245,29,5.0,#000000,130
246,29,5.5,#FF0000,50
247,29,6.0,#FFD700,10
248,29,6.5,#5E6167,160
249,29,7.0,#FFFFFF,180
250,29,7.5,#5E6167,50
251,29,8.0,#FFFFFF,100
252,29,8.5,#312951,30
253,30,4.5,#FFFFFF,150
254,30,5.0,#FFD700,90
255,30,5.5,#FF0000,90
256,30,6.0,#312951,50
257,30,6.5,#FF0000,170
258,30,7.0,#FFD700,90
259,30,7.5,#312951,50
260,30,8.0,#FFD700,100
261,30,8.5,#000000,160
262,31,4.5,#FFFFFF,60
263,31,5.0,#5E6167,130
264,31,5.5,#000000,60
265,31,6.0,#000000,160
266,31,6.5,#FFD700,190
267,31,7.0,#FFFFFF,170
268,31,7.5,#FFFFFF,90
269,31,8.0,#312951,90
270,31,8.5,#FFFFFF,120
271,32,4.5,#FFD700,60
272,32,5.0,#000000,30
273,32,5.5,#5E6167,120
274,32,6.0,#FFFFFF,190
275,32,6.5,#312951,130
276,32,7.0,#FFD700,80
277,32,7.5,#FF0000,170
278,32,8.0,#FFD700,70
279,32,8.5,#312951,140
280,33,4.5,#000000,140
281,33,5.0,#000000,30
282,33,5.5,#5E6167,30
283,33,6.0,#5E6167,100
284,33,6.5,#FF0000,130
285,33,7.0,#5E6167,180
286,33,7.5,#FFFFFF,140
287,33,8.0,#FFFFFF,90
288,33,8.5,#FFD700,190
289,34,4.5,#FFD700,190
290,34,5.0,#5E6167,10
291,34,5.5,#312951,130
292,34,6.0,#5E6167,110
293,34,6.5,#000000,120
294,34,7.0,#000000,200
295,34,7.5,#000000,130
296,34,8.0,#FFD700,10
297,34,8.5,#312951,10
298,35,4.5,#5E6167,110
299,35,5.0,#312951,10
300,35,5.5,#000000,80
301,35,6.0,#FF0000,180
302,35,6.5,#000000,200
303,35,7.0,#FFFFFF,140
304,35,7.5,#000000,130
305,35,8.0,#5E6167,160
306,35,8.5,#5E6167,190
307,36,4.5,#FFD700,200
308,36,5.0,#FF0000,180
309,36,5.5,#000000,50
310,36,6.0,#5E6167,100
311,36,6.5,#FFD700,140
312,36,7.0,#FF0000,190
313,36,7.5,#5E6167,130
314,36,8.0,#000000,80
315,36,8.5,#FFFFFF,50
316,37,4.5,#FFFFFF,150
317,37,5.0,#5E6167,60
318,37,5.5,#312951,90
319,37,6.0,#FFD700,20
320,37,6.5,#312951,70
321,37,7.0,#FFD700,20
322,37,7.5,#FFD700,130
323,37,8.0,#FF0000,30
324,37,8.5,#5E6167,200
325,38,4.5,#FFD700,120
326,38,5.0,#FFFFFF,190
327,38,5.5,#312951,200
328,38,6.0,#FFFFFF,180
329,38,6.5,#312951,50
330,38,7.0,#000000,180
331,38,7.5,#312951,10
332,38,8.0,#FFFFFF,80
333,38,8.5,#5E6167,190
334,39,4.5,#FFD700,170
335,39,5.0,#FFD700,130
336,39,5.5,#FFFFFF,30
337,39,6.0,#FF0000,120
338,39,6.5,#000000,180
339,39,7.0,#312951,190
340,39,7.5,#FFFFFF,130
341,39,8.0,#000000,70
342,39,8.5,#FFD700,30
343,40,4.5,#FF0000,190
344,40,5.0,#5E6167,60
345,40,5.5,#312951,110
346,40,6.0,#312951,70
347,40,6.5,#FFD700,160
348,40,7.0,#FF0000,40
349,40,7.5,#000000,140
350,40,8.0,#5E6167,30
351,40,8.5,#FFFFFF,200
352,41,4.5,#FFFFFF,90
353,41,5.0,#312951,70
354,41,5.5,#FFFFFF,70
355,41,6.0,#000000,110
356,41,6.5,#FF0000,30
357,41,7.0,#000000,130
358,41,7.5,#000000,110
359,41,8.0,#5E6167,150
360,41,8.5,#000000,120
361,42,4.5,#000000,110
362,42,5.0,#5E6167,50
363,42,5.5,#FF0000,20
364,42,6.0,#FFD700,20
365,42,6.5,#000000,60
366,42,7.0,#5E6167,140
367,42,7.5,#FFFFFF,50
368,42,8.0,#000000,180
369,42,8.5,#000000,20
370,43,4.5,#FFD700,100
371,43,5.0,#000000,70
372,43,5.5,#5E6167,50
373,43,6.0,#FFFFFF,190
374,43,6.5,#FF0000,110
375,43,7.0,#5E6167,180
376,43,7.5,#000000,180
377,43,8.0,#FF0000,180
378,43,8.5,#312951,140
379,44,4.5,#5E6167,120
380,44,5.0,#312951,50
381,44,5.5,#312951,40
382,44,6.0,#312951,110
383,44,6.5,#FFFFFF,190
384,44,7.0,#FF0000,100
385,44,7.5,#000000,10
386,44,8.0,#000000,200
387,44,8.5,#5E6167,180
388,45,4.5,#5E6167,30
389,45,5.0,#000000,200
390,45,5.5,#5E6167,150
391,45,6.0,#FFFFFF,80
392,45,6.5,#FFD700,60
393,45,7.0,#000000,10
394,45,7.5,#FF0000,60
395,45,8.0,#312951,100
396,45,8.5,#FF0000,200
397,46,4.5,#5E6167,160
398,46,5.0,#5E6167,50
399,46,5.5,#FFFFFF,160
400,46,6.0,#FFFFFF,150
401,46,6.5,#FF0000,150
402,46,7.0,#FF0000,80
403,46,7.5,#000000,180
404,46,8.0,#312951,10
405,46,8.5,#FFFFFF,40
406,47,4.5,#FFFFFF,90
407,47,5.0,#312951,80
408,47,5.5,#FFD700,170
409,47,6.0,#5E6167,30
410,47,6.5,#FF0000,140
411,47,7.0,#FFFFFF,60
412,47,7.5,#5E6167,130
413,47,8.0,#FFD700,90
414,47,8.5,#FF0000,20
415,48,4.5,#000000,90
416,48,5.0,#312951,90
417,48,5.5,#FFFFFF,110
418,48,6.0,#FF0000,80
419,48,6.5,#FF0000,60
420,48,7.0,#5E6167,60
421,48,7.5,#FF0000,80
422,48,8.0,#FFFFFF,100
423,48,8.5,#FF0000,80
424,49,4.5,#5E6167,70
425,49,5.0,#FFFFFF,70
426,49,5.5,#FFD700,90
427,49,6.0,#000000,30
428,49,6.5,#5E6167,140
429,49,7.0,#312951,50
430,49,7.5,#5E6167,140
431,49,8.0,#FFD700,190
432,49,8.5,#000000,120
433,50,4.5,#FF0000,70
434,50,5.0,#312951,170
435,50,5.5,#FFD700,130
436,50,6.0,#5E6167,90
437,50,6.5,#FF0000,110
438,50,7.0,#FFD700,70
439,50,7.5,#312951,20
440,50,8.0,#5E6167,30
441,50,8.5,#FFFFFF,100
442,51,4.5,#5E6167,40
443,51,5.0,#FFFFFF,60
444,51,5.5,#FF0000,70
445,51,6.0,#000000,80
446,51,6.5,#312951,160
447,51,7.0,#5E6167,180
448,51,7.5,#FFD700,120
449,51,8.0,#312951,170
450,51,8.5,#5E6167,80
451,52,4.5,#FF0000,30
452,52,5.0,#5E6167,140
453,52,5.5,#FFD700,120
454,52,6.0,#FFD700,80
455,52,6.5,#FFD700,60
456,52,7.0,#FFD700,200
457,52,7.5,#FF0000,190
458,52,8.0,#312951,30
459,52,8.5,#312951,160
460,53,4.5,#312951,90
461,53,5.0,#000000,80
462,53,5.5,#5E6167,90
463,53,6.0,#FFD700,20
464,53,6.5,#312951,10
465,53,7.0,#FFD700,100
466,53,7.5,#000000,10
467,53,8.0,#000000,170
468,53,8.5,#FFFFFF,10
469,54,4.5,#FFD700,30
470,54,5.0,#FF0000,150
471,54,5.5,#000000,70
472,54,6.0,#FFD700,30
473,54,6.5,#FF0000,40
474,54,7.0,#5E6167,80
475,54,7.5,#5E6167,60
476,54,8.0,#5E6167,50
477,54,8.5,#FFFFFF,100
478,55,4.5,#5E6167,80
479,55,5.0,#FFD700,120
480,55,5.5,#FFFFFF,180
481,55,6.0,#000000,50
482,55,6.5,#FFD700,160
483,55,7.0,#FFFFFF,160
484,55,7.5,#000000,30
485,55,8.0,#312951,60
486,55,8.5,#FFD700,60
487,56,4.5,#5E6167,110
488,56,5.0,#FF0000,160
489,56,5.5,#FFFFFF,180
490,56,6.0,#312951,200
491,56,6.5,#FF0000,90
492,56,7.0,#312951,40
493,56,7.5,#FF0000,90
494,56,8.0,#FF0000,200
495,56,8.5,#FF0000,30
496,57,4.5,#312951,200
497,57,5.0,#FF0000,110
498,57,5.5,#FF0000,90
499,57,6.0,#FFFFFF,180
500,57,6.5,#FFD700,40
501,57,7.0,#FFFFFF,180
502,57,7.5,#FF0000,90
503,57,8.0,#FFD700,60
504,57,8.5,#000000,50
505,58,4.5,#FFD700,40
506,58,5.0,#FF0000,100
507,58,5.5,#FF0000,150
508,58,6.0,#5E6167,80
509,58,6.5,#FFD700,60
510,58,7.0,#000000,190
511,58,7.5,#FFFFFF,110
512,58,8.0,#5E6167,180
513,58,8.5,#312951,60
514,59,4.5,#5E6167,50
515,59,5.0,#FFD700,110
516,59,5.5,#FF0000,40
517,59,6.0,#FFD700,20
518,59,6.5,#FFFFFF,80
519,59,7.0,#FFD700,130
520,59,7.5,#FFD700,50
521,59,8.0,#312951,90
522,59,8.5,#FF0000,20
523,60,4.5,#5E6167,140
524,60,5.0,#312951,90
525,60,5.5,#FFD700,100
526,60,6.0,#FF0000,100
527,60,6.5,#FF0000,150
528,60,7.0,#5E6167,100
529,60,7.5,#312951,150
530,60,8.0,#5E6167,30
531,60,8.5,#FFFFFF,90
532,61,4.5,#FFFFFF,20
533,61,5.0,#312951,10
534,61,5.5,#000000,120
535,61,6.0,#5E6167,80
536,61,6.5,#000000,40
537,61,7.0,#FF0000,100
538,61,7.5,#FFD700,80
539,61,8.0,#000000,180
540,61,8.5,#FFFFFF,80
541,62,4.5,#FF0000,180
542,62,5.0,#FFD700,10
543,62,5.5,#FF0000,10
544,62,6.0,#312951,170
545,62,6.5,#FFFFFF,140
546,62,7.0,#000000,20
547,62,7.5,#000000,10
548,62,8.0,#FFFFFF,80
549,62,8.5,#000000,170
550,63,4.5,#312951,190
551,63,5.0,#FF0000,160
552,63,5.5,#312951,150
553,63,6.0,#FFD700,60
554,63,6.5,#FFFFFF,60
555,63,7.0,#FFD700,110
556,63,7.5,#FFD700,40
557,63,8.0,#000000,160
558,63,8.5,#312951,110
559,64,4.5,#FFFFFF,70
560,64,5.0,#312951,200
561,64,5.5,#5E6167,60
562,64,6.0,#312951,70
563,64,6.5,#FF0000,90
564,64,7.0,#FFFFFF,180
565,64,7.5,#FFFFFF,40
566,64,8.0,#000000,130
567,64,8.5,#FFD700,50
568,65,4.5,#000000,70
569,65,5.0,#000000,150
570,65,5.5,#000000,190
571,65,6.0,#312951,170
572,65,6.5,#FF0000,180
573,65,7.0,#312951,160
574,65,7.5,#000000,90
575,65,8.0,#000000,70
576,65,8.5,#5E6167,140
577,66,4.5,#000000,100
578,66,5.0,#000000,130
579,66,5.5,#FFFFFF,70
580,66,6.0,#FF0000,170
581,66,6.5,#FFFFFF,90
582,66,7.0,#FFFFFF,120
583,66,7.5,#312951,70
584,66,8.0,#FFFFFF,40
585,66,8.5,#FFFFFF,40
586,67,4.5,#000000,200
587,67,5.0,#FF0000,140
588,67,5.5,#FFD700,110
589,67,6.0,#5E6167,160
590,67,6.5,#FFD700,110
591,67,7.0,#FFFFFF,50
592,67,7.5,#312951,190
593,67,8.0,#FFD700,120
594,67,8.5,#FFD700,30
595,68,4.5,#5E6167,20
596,68,5.0,#FFFFFF,20
597,68,5.5,#FFFFFF,90
598,68,6.0,#FF0000,170
599,68,6.5,#FFFFFF,70
600,68,7.0,#000000,180
601,68,7.5,#312951,100
602,68,8.0,#FF0000,90
603,68,8.5,#FF0000,110
604,69,4.5,#FFD700,120
605,69,5.0,#312951,80
606,69,5.5,#FF0000,140
607,69,6.0,#FFFFFF,90
608,69,6.5,#FF0000,140
609,69,7.0,#FF0000,50
610,69,7.5,#FFFFFF,120
611,69,8.0,#FFFFFF,170
612,69,8.5,#000000,60
613,70,4.5,#FFD700,30
614,70,5.0,#5E6167,10
615,70,5.5,#312951,130
616,70,6.0,#FF0000,40
617,70,6.5,#FFD700,70
618,70,7.0,#5E6167,70
619,70,7.5,#FFFFFF,160
620,70,8.0,#312951,150
621,70,8.5,#5E6167,20
622,71,4.5,#FF0000,140
623,71,5.0,#312951,120
624,71,5.5,#FFFFFF,200
625,71,6.0,#FFD700,190
626,71,6.5,#FFD700,100
627,71,7.0,#5E6167,90
628,71,7.5,#FF0000,30
629,71,8.0,#FF0000,20
630,71,8.5,#5E6167,150
631,72,4.5,#FFFFFF,120
632,72,5.0,#312951,150
633,72,5.5,#FF0000,60
634,72,6.0,#FFFFFF,200
635,72,6.5,#FFFFFF,30
636,72,7.0,#5E6167,110
637,72,7.5,#FFFFFF,180
638,72,8.0,#5E6167,120
639,72,8.5,#FFD700,140
640,73,4.5,#FFD700,170
641,73,5.0,#FF0000,140
642,73,5.5,#FFFFFF,200
643,73,6.0,#312951,20
644,73,6.5,#FFD700,130
645,73,7.0,#FF0000,180
646,73,7.5,#FFFFFF,80
647,73,8.0,#FFFFFF,180
648,73,8.5,#5E6167,80
649,74,4.5,#FFD700,200
650,74,5.0,#FFFFFF,10
651,74,5.5,#000000,160
652,74,6.0,#FF0000,110
653,74,6.5,#312951,190
654,74,7.0,#5E6167,130
655,74,7.5,#312951,110
656,74,8.0,#FF0000,20
657,74,8.5,#FFD700,170
658,75,4.5,#FF0000,80
659,75,5.0,#FFD700,60
660,75,5.5,#000000,130
661,75,6.0,#FF0000,60
662,75,6.5,#000000,60
663,75,7.0,#5E6167,20
664,75,7.5,#FF0000,80
665,75,8.0,#FF0000,30
666,75,8.5,#FFD700,30
667,76,4.5,#312951,50
668,76,5.0,#000000,80
669,76,5.5,#FFD700,90
670,76,6.0,#5E6167,150
671,76,6.5,#FF0000,90
672,76,7.0,#000000,40
673,76,7.5,#312951,150
674,76,8.0,#FF0000,180
675,76,8.5,#FFD700,50
676,77,4.5,#312951,100
677,77,5.0,#000000,80
678,77,5.5,#000000,60
679,77,6.0,#312951,10
680,77,6.5,#312951,10
681,77,7.0,#5E6167,170
682,77,7.5,#000000,180
683,77,8.0,#FFFFFF,70
684,77,8.5,#5E6167,170
685,79,4.5,#312951,150
686,79,5.0,#FF0000,30
687,79,5.5,#5E6167,50
688,79,6.0,#FFD700,160
689,79,6.5,#FFD700,70
690,79,7.0,#FF0000,80
691,79,7.5,#FFFFFF,30
692,79,8.0,#FFFFFF,70
693,79,8.5,#000000,170
694,80,4.5,#FFD700,130
695,80,5.0,#FFD700,160
696,80,5.5,#FFD700,120
697,80,6.0,#5E6167,190
698,80,6.5,#FFFFFF,60
699,80,7.0,#FFFFFF,160
700,80,7.5,#312951,30
701,80,8.0,#000000,160
702,80,8.5,#FFD700,150
703,81,4.5,#000000,70
704,81,5.0,#FFD700,50
705,81,5.5,#FFFFFF,10
706,81,6.0,#FFFFFF,150
707,81,6.5,#312951,140
708,81,7.0,#312951,20
709,81,7.5,#FFD700,80
710,81,8.0,#FFD700,50
711,81,8.5,#000000,10
712,82,4.5,#000000,160
713,82,5.0,#5E6167,190
714,82,5.5,#312951,30
715,82,6.0,#312951,200
716,82,6.5,#FF0000,20
717,82,7.0,#5E6167,20
718,82,7.5,#000000,120
719,82,8.0,#000000,130
720,82,8.5,#FFFFFF,80
721,83,4.5,#000000,150
722,83,5.0,#FF0000,200
723,83,5.5,#FFFFFF,100
724,83,6.0,#FF0000,170
725,83,6.5,#000000,140
726,83,7.0,#FF0000,80
727,83,7.5,#FFFFFF,120
728,83,8.0,#FFFFFF,130
729,83,8.5,#000000,110
730,84,4.5,#FFFFFF,20
731,84,5.0,#FF0000,20
732,84,5.5,#5E6167,60
733,84,6.0,#FFFFFF,30
734,84,6.5,#FFD700,160
735,84,7.0,#312951,110
736,84,7.5,#FFD700,100
737,84,8.0,#312951,20
738,84,8.5,#FF0000,180
739,86,4.5,#5E6167,80
