url;title;asin;price;brand;product_details;breadcrumbs;images_list;Outer Material;Inner Material;Sole;Closure;Heel Height;Heel Type;Shoe Width
https://www.amazon.co.uk/dp/B08BLP231K;Geox Jr Sandal Strada B Fisherman, Brown Red, 2.5 UK Child;B08BLP231K;50.0;Visit the Geox Store;"Package Dimensions: \n31.2 x 21.4 x 11.4 cm; 820 Grams\n\n\nDate First Available: \n22 Jun. 2020\n\n\nManufacturer: \nGeox\n\n\nASIN: \nB08BLP231K\n\n\nItem model number: \nJ1524B02214\n\n\nCountry of origin: \nVietnam\n\n\nDepartment: \nBoy's";['Shoes', Boys' Shoes, 'Sandals'];https://m.media-amazon.com/images/I/41OuvqjhaqL.jpg, https://m.media-amazon.com/images/I/51zt+Bb48FL.jpg, https://m.media-amazon.com/images/I/51EXdVtkpAL.jpg, https://m.media-amazon.com/images/I/41u3T2DxWkL.jpg, https://m.media-amazon.com/images/I/41ZOt3pgbSL.jpg, https://m.media-amazon.com/images/I/41FEYlXQNFL.jpg, https://m.media-amazon.com/images/I/41Nqt4ULBUL.jpg;Synthetic;Synthetic;Rubber;Strap;2 centimetres;Flat;Medium
https://www.amazon.co.uk/dp/B012DS5U2Y;Reebok Men's NPC Ii Fashion Sneaker;B012DS5U2Y;47.0;Visit the Reebok Store;"Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n1 x 1 x 1 cm; 340.19 Grams\n\n\nDate First Available: \n8 Feb. 2016\n\n\nManufacturer: \nReebok\n\n\nASIN: \nB00XJYHWU0\n\n\nItem model number: \n889131332620\n\n\nDepartment: \nBoy's";['Shoes', Men's Shoes, 'Fashion & Athletic Trainers', 'Fashion Trainers'];https://m.media-amazon.com/images/I/31Q5ITz9A1L.jpg, https://m.media-amazon.com/images/I/31zTqnl8B1L.jpg, https://m.media-amazon.com/images/I/31cJeqWHkXL.jpg, https://m.media-amazon.com/images/I/31VChOZlUvL.jpg, https://m.media-amazon.com/images/I/31tZwWe46cL.jpg, https://m.media-amazon.com/images/I/312gwJ-AfwL.jpg, https://m.media-amazon.com/images/I/31aftLNUgNL.jpg;Leather;Manmade;Rubber;Lace-Up;1 centimetres;Flat;Normal
https://www.amazon.co.uk/dp/B01GRUZWAO;Geox Women's D Sfinge a Fashion Sneaker;B01GRUZWAO;64.95;Visit the Geox Store;"Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n31.2 x 22.6 x 11 cm; 340.19 Grams\n\n\nDate First Available: \n8 Aug. 2016\n\n\nManufacturer: \nGeox\n\n\nASIN: \nB01C5171VC\n\n\nItem model number: \nD642NA\n\n\nDepartment: \nWomen's";['Shoes', Women's Shoes, 'Fashion & Athletic Trainers', 'Fashion Trainers'];https://m.media-amazon.com/images/I/41nClsGThtL.jpg, https://m.media-amazon.com/images/I/41wk9QjiMnL.jpg, https://m.media-amazon.com/images/I/41BPdM1ttRL.jpg, https://m.media-amazon.com/images/I/41bb40A9iYL.jpg, https://m.media-amazon.com/images/I/41u0DuohyDL.jpg, https://m.media-amazon.com/images/I/41wZ7aDasSL.jpg, https://m.media-amazon.com/images/I/41qjIMKAX+L.jpg;Leather;Mesh;Ethylene Vinyl Acetate;Lace-Up;3.5 centimetres;Flat;Medium womens_us
https://www.amazon.co.uk/dp/B08635QDSF;HROYL Girls Dance Shoes Satin Latin/Chacha/Samba/Modern/Jazz Dance Shoes Ballroom 206;B08635QDSF;25.99;Visit the HROYL Store;"Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n17.4 x 6.4 x 10 cm; 145.15 Grams\n\n\nDate First Available: \n7 Mar. 2017\n\n\nASIN: \nB01J76Z3KE\n\n\nItem model number: \nI-206-Black-25\n\n\nDepartment: \nWomen's";['Shoes', Women's Shoes, 'Fashion & Athletic Trainers', 'Sports & Outdoor Shoes', 'Dance Shoes'];https://m.media-amazon.com/images/I/41u3nswtlAL.jpg, https://m.media-amazon.com/images/I/41+6R69avQL.jpg, https://m.media-amazon.com/images/I/51ZZf46pd2L.jpg, https://m.media-amazon.com/images/I/511Wct8kR9L.jpg, https://m.media-amazon.com/images/I/51MuvpcOhOL.jpg, https://m.media-amazon.com/images/I/51-7HmsLJLL.jpg, https://m.media-amazon.com/images/I/51BgT0jdDTL.jpg;Satin;Manmade;Synthetic;Buckle;3.5 centimetres;Block;Normal
https://www.amazon.co.uk/dp/B07T26WQF5;adidas Originals Men's Superstar Foundation Sneaker;B07T26WQF5;27.5;adidas Originals;"Product Dimensions: \n30 x 35 x 20 cm; 200 Grams\n\n\nDate First Available: \n18 Nov. 2019\n\n\nManufacturer: \nadidas\n\n\nASIN: \nB0813VB74R\n\n\nItem model number: \nEG4960\n\n\nDepartment: \nMen's";['Shoes', Men's Shoes, 'Fashion & Athletic Trainers', 'Fashion Trainers'];https://m.media-amazon.com/images/I/31PV8FxA9hL.jpg, https://m.media-amazon.com/images/I/31rM6XZH+mL.jpg, https://m.media-amazon.com/images/I/31TK9uSOD8L.jpg, https://m.media-amazon.com/images/I/31O-VlY70-L.jpg, https://m.media-amazon.com/images/I/31JvxRZkABL.jpg, https://m.media-amazon.com/images/I/31srUKGhBlL.jpg, https://m.media-amazon.com/images/I/31ZDmA7TNoL.jpg;Synthetic;Manmade;Rubber;Lace-Up;1 centimetres;Flat;Normale
https://www.amazon.co.uk/dp/B084DQPC13;Clarks Men's Bayhill Plain Oxford;B084DQPC13;28.02;Visit the Clarks Store;"Product Dimensions: \n30 x 20 x 10 cm; 860 Grams\n\n\nDate First Available: \n28 Sept. 2020\n\n\nManufacturer: \nClarks\n\n\nASIN: \nB08JQFGBKS\n\n\nItem model number: \n261531758\n\n\nDepartment: \nMen's";['Shoes', Men's Shoes, 'Lace-ups'];https://m.media-amazon.com/images/I/31B4LeV-WbL.jpg, https://m.media-amazon.com/images/I/412jkzCjB6L.jpg, https://m.media-amazon.com/images/I/41-HU6rtq5L.jpg, https://m.media-amazon.com/images/I/31wSdYxy+eL.jpg, https://m.media-amazon.com/images/I/31qVaT2nYYL.jpg, https://m.media-amazon.com/images/I/31fW4B5Hu7L.jpg, https://m.media-amazon.com/images/I/31Wr27F2MAL.jpg;Nubuck Leather;Manmade;Leather and rubber;Lace-Up;1 centimetres;Flat;Wide
https://www.amazon.co.uk/dp/B00307JJR0;Capezio Websneaker, Girls’ Casual;B00307JJR0;36.4;Capezio;"Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n23.8 x 14.6 x 9.2 cm; 458.13 Grams\n\n\nDate First Available: \n28 Sept. 2010\n\n\nManufacturer: \nCapezio\n\n\nASIN: \nB002ZMTUL6\n\n\nItem model number: \nS000DS19C0MPAT125\n\n\nDepartment: \nGirl's";['Shoes', Women's Shoes, 'Fashion & Athletic Trainers', 'Sports & Outdoor Shoes'];https://m.media-amazon.com/images/I/41Vt3Tj1QKL.jpg, https://m.media-amazon.com/images/I/41riQrO0ohL.jpg, https://m.media-amazon.com/images/I/41lrVmFhYJL.jpg, https://m.media-amazon.com/images/I/31Ll2xhEXkL.jpg, https://m.media-amazon.com/images/I/31ZPOr8r-iL.jpg, https://m.media-amazon.com/images/I/31D2vzKr-bL.jpg, https://m.media-amazon.com/images/I/51UJMw+OZmL.jpg;Mesh;Manmade;Polyurethane;Lace-Up;1 centimetres;Flat;Medium
https://www.amazon.co.uk/dp/B07TVF6ZBP;Skechers Women's Ultra Groove Trainers;B07TVF6ZBP;40.31;Visit the Skechers Store;Batteries: \n1 Unknown batteries required.\n\n\nIs Discontinued By Manufacturer: \nNo\n\n\nDate First Available: \n9 Sept. 2019\n\n\nManufacturer: \nSkechers\n\n\nASIN: \nB07TTDKR5L\n\n\nItem model number: \n149019\n\n\nDepartment: \nWomen's;['Shoes', Women's Shoes, 'Fashion & Athletic Trainers', 'Fashion Trainers'];https://m.media-amazon.com/images/I/4105lS5DErL.jpg, https://m.media-amazon.com/images/I/41Ao60M9swL.jpg, https://m.media-amazon.com/images/I/41vFoI9bGjL.jpg, https://m.media-amazon.com/images/I/31D7xyC46rL.jpg, https://m.media-amazon.com/images/I/31eewoLkYWL.jpg, https://m.media-amazon.com/images/I/41+7Sbi3ylL.jpg, https://m.media-amazon.com/images/I/41nXEm1EipL.jpg;Synthetic;Textile;EVA;Lace-Up;45;No Heel;Medium
https://www.amazon.co.uk/dp/B07W6S18DB;Rieker Women Low Shoes, Loafers L2327, Ladies Low-Tops,Removable Insole;B07W6S18DB;29.39;Rieker;"Package Dimensions: \n32.2 x 17.2 x 11.6 cm; 600 Grams\n\n\nDate First Available: \n8 Aug. 2019\n\n\nManufacturer: \nRieker\n\n\nASIN: \nB07W6S16VZ\n\n\nItem model number: \nL2327\n\n\nDepartment: \nWomen's";['Shoes', Women's Shoes, 'Flat Shoes', 'Loafers & Moccasins'];https://m.media-amazon.com/images/I/41IyKyn39IL.jpg, https://m.media-amazon.com/images/I/41H0mKED6DL.jpg, https://m.media-amazon.com/images/I/31EfSTJwvnL.jpg, https://m.media-amazon.com/images/I/31do7yetmuL.jpg, https://m.media-amazon.com/images/I/41aoDZ-yWLL.jpg, https://m.media-amazon.com/images/I/41oKiyT8YKL.jpg, https://m.media-amazon.com/images/I/4164t8o2+6L.jpg;Synthetic;Manmade;Synthetic;Lace-Up;3.5 centimetres;Flat;Medium
https://www.amazon.co.uk/dp/B09C8C5T8K;Walk Shoes Women Athletic Casual Tennis Sneakers Lace Up Walking Shoes Striped Pattern Autumn Loafers;B09C8C5T8K;17.68;JYC Store;Date First Available: \n10 Aug. 2021\n\n\nManufacturer: \nzhjk598\n\n\nASIN: \nB09C8B5L7H\n\n\nItem model number: \nwomen sandals clearance\n\n\nDepartment: \nWomen's;['Shoes', Women's Shoes, 'Fashion & Athletic Trainers', 'Fashion Trainers'];https://m.media-amazon.com/images/I/41+GJL894TS.jpg, https://m.media-amazon.com/images/I/61p6xGBYBUS.jpg, https://m.media-amazon.com/images/I/611-z94F6pS.jpg, https://m.media-amazon.com/images/I/61R4I7CeCZS.jpg, https://m.media-amazon.com/images/I/51CPIGt9ewS.jpg, https://m.media-amazon.com/images/I/5186i6L8P9S.jpg, https://m.media-amazon.com/images/I/41i3VF92QXL.jpg;Canvas, boys trainers, badminton shoes, women's walking shoes, running shoes for wome;Wedge, pointed-toe, women's slippers, white trainers women;Rubber;Lace-Up, Pull On, Hook & Loop;1.5 centimetres;Low;Medium
